@station,@grpkeys,@grpvals,@grpvalsdesc,@latdec,@lngdec,@shortname,@stname,@colour,@var_100x00_100,@var_100x00_100_dt,@var_100x00_141,@var_100x00_141_dt,@var_10x00_10,@var_10x00_10_dt
221217,WEB_SW,B_221_EG,221-East Gippsland Basin,-37.4790224,149.67915029,GENOA @ GIPSY POINT,GENOA RIVER @ GIPSY POINT (WOOD'S JETTY),grey,,,,,,
221218,WEB_SW,B_221_EG,221-East Gippsland Basin,-37.59533524,149.63561819,BETKA R @ MINERS TRK,BETKA RIVER @ MINERS TRACK,grey,0.517,20221017090000,28.9,20221017090000,,
221222,WEB_SW,B_221_EG,221-East Gippsland Basin,-37.35645366,149.02291622,HENSLEIGH CK,HENSLEIGH CREEK U/S COMBIENBAR,grey,,,,,,
221223,WEB_SW,B_221_EG,221-East Gippsland Basin,-37.35008046,149.03403417,COMBIENBAR @ TIGER,COMBIENBAR RIVER @ TIGER SNAKE CK,grey,,,,,,
221224,WEB_SW,B_221_EG,221-East Gippsland Basin,-37.53864684,149.156689,CANN RV U/S O/TAKE,CANN RIVER U/S CANN RIVER OFFTAKE,blue,0.672,20221017090000,296.6,20221017090000,,
221225,WEB_SW,B_221_EG,221-East Gippsland Basin,-37.72962305,148.9510043,BEMM R U/S PUMPHOUSE,BEMM RIVER U/S OF PUMPHOUSE,purple,1.019,20221017090000,753.8,20221017090000,,
221601,WEB_SW,B_221_EG,221-East Gippsland Basin,-37.75,149.45,,ELUSIVE LAKE @ WINGEN INLET TRACK,grey,,,,,,
221800,WEB_SW,B_221_EG,221-East Gippsland Basin,-37.41666667,149.5166667,RG @ THE GORGE,RAINGAUGE (GENOA RIVER) @ THE GORGE,grey,,,,,,
221801,WEB_SW,B_221_EG,221-East Gippsland Basin,-37.26526,149.1457,RG @ Buldah,Raingauge @ Buldah,grey,,,,,,
221802,WEB_SW,B_221_EG,221-East Gippsland Basin,-37.55295,148.93764,RG @ Club Terrace,Raingauge @ Club Terrace,grey,,,,,,
221803,WEB_SW,B_221_EG,221-East Gippsland Basin,-37.646908,148.979234,RG @ Bemm Fire Tower,RG @ Bemm Fire Tower- Bemm Tower Rd Club Terrace,grey,,,,,,
221804,WEB_SW,B_221_EG,221-East Gippsland Basin,-37.44178,149.0729,RG @ Waldron FT,RG @ Waldron Fire Tower -Waldron Rd Combienbar,grey,,,,,,
222200,WEB_SW,B_222_SNOWY,222-Snowy Basin,-37.66108607,148.3613139,SNOWY R @ JARRAHMOND,SNOWY RIVER @ JARRAHMOND,purple,2.434,20221017090000,10430.7,20221017090000,,
222201,WEB_SW,B_222_SNOWY,222-Snowy Basin,-37.70739307,148.45095033,SNOWY R @ ORBOST,SNOWY RIVER @ ORBOST,purple,2.372,20221017090000,,,,
222202,WEB_SW,B_222_SNOWY,222-Snowy Basin,-37.51153449,148.5473254,BRODRIBB @ SARDINE,BRODRIBB RIVER @ SARDINE CREEK,grey,0.723,20221017090000,440.2,20221017090000,,
222203,WEB_SW,B_222_SNOWY,222-Snowy Basin,-37.79888889,148.5277778,SNOWY @ MARLO JETTY,SNOWY RIVER @ MARLO JETTY,grey,0.095,20221017090000,,,,
222204,WEB_SW,B_222_SNOWY,222-Snowy Basin,-37.7175,148.4011111,SNOWY @ BETE BELONG,SNOWY RIVER @ BETE BELONG,grey,,,,,,
222205,WEB_SW,B_222_SNOWY,222-Snowy Basin,-37.751804,148.519811,SNOWY @ NEWMERELLA,SNOWY RIVER @ NEWMERELLA-LOCHEND ROAD,grey,,,,,,
222206,WEB_SW,B_222_SNOWY,222-Snowy Basin,-37.49584324,148.1732424,BUCHAN @ BUCHAN,BUCHAN RIVER @ BUCHAN,blue,1.304,20221017090000,477.5,20221017090000,0.0,20221017090000
222207,WEB_SW,B_222_SNOWY,222-Snowy Basin,-37.50472222,148.2377778,BUCHAN R MURRINDAL,BUCHAN RIVER @ MURRINDAL,grey,,,,,,
222208,WEB_SW,B_222_SNOWY,222-Snowy Basin,-37.075,148.4666667,DEDDICK @ DEDDICK,DEDDICK RIVER @ DEDDICK (WHITES),grey,,,,,,
222209,WEB_SW,B_222_SNOWY,222-Snowy Basin,-37.08362756,148.4132551,SNOWY @ MCKILLOP BR.,SNOWY RIVER @ MCKILLOP BRIDGE,grey,2.329,20221017090000,8587.1,20221017090000,0.0,20221017090000
222210,WEB_SW,B_222_SNOWY,222-Snowy Basin,-37.0853747,148.42415223,DEDDICK @ DEDDICK,DEDDICK RIVER @ DEDDICK (CASEYS),grey,,,,,,
222212,WEB_SW,B_222_SNOWY,222-Snowy Basin,-37.4833,148.2833,SNOWY @ BASIN CREEK,SNOWY RIVER @ BASIN CREEK NEAR BUCHAN,grey,,,,,,
222213,WEB_SW,B_222_SNOWY,222-Snowy Basin,-36.95505536,148.3259208,S.BUGGAN @ SUGGAN,SUGGAN BUGGAN RIVER @ SUGGAN BUGGAN,orange,0.949,20221017090000,295.7,20221017090000,,
222214,WEB_SW,B_222_SNOWY,222-Snowy Basin,-37.6352,148.6446,ROCKY @ NEAR ORBOST,ROCKY RIVER @ NEAR ORBOST,grey,,,,,,
222216,WEB_SW,B_222_SNOWY,222-Snowy Basin,-37.49131872,148.2273423,MURRINDAL @ BASIN RD,MURRINDAL RIVER @ BASIN ROAD (BUCHAN),grey,,,,,,
222217,WEB_SW,B_222_SNOWY,222-Snowy Basin,-37.41015604,148.3598666,RODGER @ JACKSONS,RODGER RIVER @ JACKSONS CROSSING,grey,,,,,,
222218,WEB_SW,B_222_SNOWY,222-Snowy Basin,-37.06410786,148.3092808,LITTLE @ WULGULMERAN,LITTLE RIVER @ WULGULMERANG,grey,,,,,,
222219,WEB_SW,B_222_SNOWY,222-Snowy Basin,-37.49908473,148.2736248,SNOWY @ BASIN CRK,SNOWY RIVER @ D/S OF BASIN CREEK,purple,3.017,20221017090000,9534.8,20221017090000,0.0,20221017090000
222221,WEB_SW,B_222_SNOWY,222-Snowy Basin,-37.47048385,148.1746891,BUCHAN R @ EGW O/T,BUCHAN RIVER @ EGW OFFTAKE,purple,1.082,20221017090000,533.2,20221017090000,,
222222,WEB_SW,B_222_SNOWY,222-Snowy Basin,-37.62893922,148.6538508,ROCKY RIVER U/S OT T,ROCKY RIVER U/S OT THE WEIR,grey,,,,,,
222223,WEB_SW,B_222_SNOWY,222-Snowy Basin,-37.726682,148.54308,Brodribb R @ Lk Curl,Brodribb River @ U/S Lake Curlip,grey,1.057,20221017090000,,,,
222400,WEB_SW,B_222_SNOWY,222-Snowy Basin,-36.66166667,148.2666667,MOYANGUL R @ LOOKOUT,MOYANGUL RIVER @ LOOKOUT NEAR TIN MINE,grey,,,,,,
222401,WEB_SW,B_222_SNOWY,222-Snowy Basin,-36.73333333,148.26666667,INGEEGOODBEE DS HUTS,INGEEGOODBEE RIVER @ D/S OF TIN MINE HUTS,grey,,,,,,
222403,WEB_SW,B_222_SNOWY,222-Snowy Basin,-37.2225,148.1328,BUCHAN @ GLENMORE,BUCHAN RIVER @ GLENMORE,grey,,,,,,
222404,WEB_SW,B_222_SNOWY,222-Snowy Basin,-37.245,148.111667,MELLICK MUNJIE CREEK,MELLICK MUNJIE CREEK @ GILLINGALL,grey,,,,,,
223200,WEB_SW,B_223_TAMBO,223-Tambo Basin,-37.71286347,147.8350384,TAMBO @ BRUTHEN,TAMBO RIVER @ BRUTHEN,grey,,,,,,
223201,WEB_SW,B_223_TAMBO,223-Tambo Basin,-37.3804,147.8307,TAMBO @ ENSAY STH.,TAMBO RIVER @ ENSAY SOUTH,grey,,,,,,
223202,WEB_SW,B_223_TAMBO,223-Tambo Basin,-37.2687812,147.72881855,TAMBO @ SWIFTS CREEK,TAMBO RIVER @ SWIFTS CREEK,blue,2.083,20221017090000,265.5,20221017090000,0.0,20221017090000
223204,WEB_SW,B_223_TAMBO,223-Tambo Basin,-37.59294631,147.697124,NICHOLSON @ DEPTFORD,NICHOLSON RIVER @ DEPTFORD,grey,,,,,,
223205,WEB_SW,B_223_TAMBO,223-Tambo Basin,-37.67253062,147.8698513,TAMBO @ DS RAMROD,TAMBO RIVER @ D/S OF RAMROD CREEK,blue,0.928,20221017090000,802.4,20221017090000,,
223206,WEB_SW,B_223_TAMBO,223-Tambo Basin,-37.0733,147.8035,TAMBO @ BINDI,TAMBO RIVER @ BINDI,grey,,,,,,
223207,WEB_SW,B_223_TAMBO,223-Tambo Basin,-37.31277483,148.0483915,TIMBARRA @ TIMBARRA,TIMBARRA RIVER @ TIMBARRA,grey,,,,,,
223208,WEB_SW,B_223_TAMBO,223-Tambo Basin,-37.15981517,147.7738435,TAMBO R @ BINDI,TAMBO RIVER @ BINDI (NEAR JUNCTION CREEK),grey,1.477,20221017090000,,,0.0,20221017090000
223209,WEB_SW,B_223_TAMBO,223-Tambo Basin,-37.7573062,147.84911607,TAMBO @ BATTENS,TAMBO RIVER @ BATTENS LANDING,blue,1.280,20221017090000,1090.5,20221017090000,,
223210,WEB_SW,B_223_TAMBO,223-Tambo Basin,-37.73756155,147.7109962,NICHOLSON @ SARSFIEL,NICHOLSON RIVER @ SARSFIELD,grey,,,,,,
223212,WEB_SW,B_223_TAMBO,223-Tambo Basin,-37.44631843,148.0634337,TIMBARRA DS WILKINSO,TIMBARRA RIVER @ D/S OF WILKINSON CREEK,grey,,,,,,
223213,WEB_SW,B_223_TAMBO,223-Tambo Basin,-37.00386294,147.8823926,TAMBO @ D/S DUGGAN C,TAMBO RIVER @ D/S OF DUGGAN CREEK,grey,,,,,,
223214,WEB_SW,B_223_TAMBO,223-Tambo Basin,-36.95470656,147.92764,TAMBO @ U/S SMITH CK,TAMBO RIVER @ U/S OF SMITH CREEK,grey,1.393,20221017080000,7.2,20221017080000,0.0,20221017080000
223215,WEB_SW,B_223_TAMBO,223-Tambo Basin,-37.48138705,147.82583885,HAUNTED @ HELLS,HAUNTED STREAM @ HELLS GATE,grey,,,,,,
223217,WEB_SW,B_223_TAMBO,223-Tambo Basin,-37.75058395,147.7274893,NICHOLSON R @ PUMP H,NICHOLSON RIVER @ PUMP HOUSE,blue,0.197,20221017090000,,,,
223218,WEB_SW,B_223_TAMBO,223-Tambo Basin,-37.727613,147.695371,Nicholson R @ GR,Nicholson River @ Granite Rock,grey,0.575,20221017090000,123.8,20221017090000,,
223402,WEB_SW,B_223_TAMBO,223-Tambo Basin,-37.14833333,147.98,TIMBARRA @ NUNNIONG,TIMBARRA RIVER @ NUNNIONG PLAINS,grey,,,,,,
223403,WEB_SW,B_223_TAMBO,223-Tambo Basin,-37.1104,147.9448,TAMBO @ NUNNIONG,TAMBO RIVER @ NUNNIONG PLAINS,grey,,,,,,
223800,WEB_SW,B_223_TAMBO,223-Tambo Basin,-37.48681597,147.9309223,RG @ MT. ELIZABETH,RAINGAUGE (TAMBO RIVER) @ MOUNT ELIZABETH,grey,,,,,,
223801,WEB_SW,B_223_TAMBO,223-Tambo Basin,-37.48586837,147.9264879,RG MT ELIZA'TH HELIP,RAIN GAUGE (TAMBO RIVER) @ MT ELIZABETH HELIPAD,grey,,,,,,
223802,WEB_SW,B_223_TAMBO,223-Tambo Basin,-37.47524703,147.913057,RG MT ELIZABETH TRK,RAINGAUGE @ MOUNT ELIZABETH SOMMERVILLE TRACK,grey,,,,,,
223804,WEB_SW,B_223_TAMBO,223-Tambo Basin,-37.32241,147.6209,RG # Brookville,RG @ Brookville,grey,,,,,,
224200,WEB_SW,B_224_MITCHELL,224-Mitchell Basin,-37.82638609,147.59361654,MITCHELL @ BAIRNS,MITCHELL RIVER @ BAIRNSDALE,purple,2.844,20221017090000,,,,
224201,WEB_SW,B_224_MITCHELL,224-Mitchell Basin,-37.48996086,147.1664437,WATERFORD,WONNANGATTA RIVER @ WATERFORD,purple,2.989,20221017090000,5735.2,20221017090000,0.0,20221017090000
224202,WEB_SW,B_224_MITCHELL,224-Mitchell Basin,-37.4622,147.2531,DARGO @ DARGO,DARGO RIVER @ DARGO (LOWER SITE),grey,,,,,,
224203,WEB_SW,B_224_MITCHELL,224-Mitchell Basin,-37.76358991,147.3747776,MITCHELL GLENALADALE,MITCHELL RIVER @ GLENALADALE,purple,2.331,20221017090000,8973.6,20221017090000,0.0,20221017090000
224204,WEB_SW,B_224_MITCHELL,224-Mitchell Basin,-37.3461,147.0787,CROOKED TALBOTVILLE,CROOKED RIVER @ TALBOTVILLE,grey,,,,,,
224205,WEB_SW,B_224_MITCHELL,224-Mitchell Basin,-37.3918,147.2726,DARGO @ DARGO UPPER,DARGO RIVER @ DARGO (UPPER SITE),grey,,,,,,
224206,WEB_SW,B_224_MITCHELL,224-Mitchell Basin,-37.4074969,147.08916452,WONNANGATTA @CROOKED,WONNANGATTA RIVER @ CROOKED RIVER,purple,2.495,20221017090000,4674.3,20221017090000,0.0,20221017090000
224207,WEB_SW,B_224_MITCHELL,224-Mitchell Basin,-37.38678406,147.0994084,WONGUNGARRA @ GUYS,WONGUNGARRA RIVER @ GUYS,grey,,,,,,
224208,WEB_SW,B_224_MITCHELL,224-Mitchell Basin,-37.6956,147.3679,MITCHELL @ HOWITT,MITCHELL RIVER @ HOWITT DAM SITE,grey,,,,,,
224209,WEB_SW,B_224_MITCHELL,224-Mitchell Basin,-37.66212164,147.3503438,COBBANNAH @ BAIRNS,COBBANNAH CREEK @ NEAR BAIRNSDALE,grey,,,,,,
224210,WEB_SW,B_224_MITCHELL,224-Mitchell Basin,-37.4105,147.1151,WONNAGATTA @ KINGWEL,WONNANGATTA RIVER @ KINGSWELL BRIDGE (HAWKHURST),grey,,,,,,
224213,WEB_SW,B_224_MITCHELL,224-Mitchell Basin,-37.49511762,147.2686992,DARGO @ L DARGO RD,DARGO RIVER @ LOWER DARGO ROAD,purple,2.266,20221017090000,1447.2,20221017090000,0.0,20221017090000
224214,WEB_SW,B_224_MITCHELL,224-Mitchell Basin,-37.49524466,147.3937727,WENTWORTH @TABBERA'A,WENTWORTH RIVER @ TABBERABBERA,grey,,,,,,
224215,WEB_SW,B_224_MITCHELL,224-Mitchell Basin,-37.60186405,147.3390494,MITCHELL @ ANGUSVALE,MITCHELL RIVER @ ANGUSVALE (TABBERABBERA),grey,,,,,,
224216,WEB_SW,B_224_MITCHELL,224-Mitchell Basin,-37.796,147.6167,CLIFTON @ WY YUNG,CLIFTON CREEK @ WY YUNG,grey,,,,,,
224217,WEB_SW,B_224_MITCHELL,224-Mitchell Basin,-37.81500036,147.57222312,MITCHELL @ ROSEHILL,MITCHELL RIVER @ ROSEHILL,purple,4.448,20221017090000,10112.4,20221017090000,0.0,20221017090000
224220,WEB_SW,B_224_MITCHELL,224-Mitchell Basin,-37.67565758,147.55073373,RG @ BULLUMWAAL,RAIN GAUGE (BOGGY CREEK) @ BULLUMWAAL,grey,,,,,,
224222,WEB_SW,B_224_MITCHELL,224-Mitchell Basin,-37.73655,147.3682,MITCHELL R GLENA. PS,MITCHELL RIVER U/S GLENALADALE PUMPHOUSE,purple,2.950,20221017090000,9192.0,20221017090000,,
224402,WEB_SW,B_224_MITCHELL,224-Mitchell Basin,-37.483333,146.983333,MOROKA @ HORSE YARD,MOROKA RIVER @ HORSE YARD,grey,,,,,,
224601,WEB_SW,B_224_MITCHELL,224-Mitchell Basin,-37.86691944,147.64111111,Macleod Site 2 WB,Macleod Morass - Site 2 Western Bank,grey,0.559,20221017090000,,,,
224602,WEB_SW,B_224_MITCHELL,224-Mitchell Basin,-37.84944444,147.63789722,Macleod Site 1 Reg,Macleod Morass - Site 1 Regulator,grey,0.722,20221017090000,,,,
225019,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.805335,146.339268,N CASCADE @ THOMSON,NORTH CASCADE CREEK @ THOMSON VALLEY ROAD,grey,,,,,,
225101,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.70754644,146.3193088,THOMSON DS SWINGLER,THOMSON RIVER @ D/S OF SWINGLER CREEK,grey,,,,,,
225103,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.69430286,146.2184801,THOMSON @ THOMSON AD,THOMSON RIVER @ THOMSON ADIT,grey,,,,,,
225105,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.766,146.1786,THOMSON @ NEWLAND RD,THOMSON RIVER @ NEWLAND ROAD,grey,,,,,,
225106,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.70849978,146.3283759,THOMSON @ ABERFELDY,THOMSON RIVER @ ABERFELDY (SWINGLER POND),grey,,,,,,
225108,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.75130828,146.4119898,DONNELLY @ CRICKET,DONNELLY CREEK @ CRICKET GROUND,grey,,,,,,
225114,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.71277777,146.2819456,THOMSON R WHITELAWS,THOMSON RIVER @ D/S WHITELAWS CREEK,grey,,,,,,
225200,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.98544026,146.7801402,THOMSON @ HEYFIELD,THOMSON RIVER @ HEYFIELD,grey,,,,,,
225201,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.9685868,147.0760061,AVON @ STRATFORD,AVON RIVER @ STRATFORD,green,1.589,20221017090000,399.6,20221017090000,0.0,20221017090000
225204,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.90204282,146.8053219,GLENMAGGIE TAIL,MACALISTER RIVER @ LAKE GLENMAGGIE (TAIL GAUGE),grey,,,,,,
225205,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.82517,146.98697,AVON @ VALENCIA,AVON RIVER @ VALENCIA CREEK,grey,,,,,,
225206,WEB_SW,B_225_THOMSON,225-Thomson Basin,-38,146.658333,THOMSON @ COWWARR,THOMSON RIVER @ COWWARR,grey,,,,,,
225207,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.958861,146.420175,THOMSON @ WALHALLA,THOMSON RIVER @ WALHALLA,grey,,,,,,
225208,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.985709,146.4249277,COOPER CREEK,THOMSON RIVER @ COOPER CREEK,grey,,,,,,
225209,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.62961037,146.6233123,MACALISTER @ LICOLA,MACALISTER RIVER @ LICOLA,purple,2.037,20221017090000,3619.9,20221017090000,0.0,20221017090000
225210,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.89101,146.40282,THOMSON @ NARROWS,THOMSON RIVER @ THE NARROWS,grey,,,,,,
225211,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.816667,146.95,AVON @ BUXTON,AVON RIVER @ BUXTON,grey,,,,,,
225212,WEB_SW,B_225_THOMSON,225-Thomson Basin,-38.01068638,146.8810046,THOMSON @ WANDOCKA,THOMSON RIVER @ WANDOCKA,purple,2.244,20221017090000,1158.7,20221017090000,,
225213,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.85381845,146.4331719,ABERFELDY @BEARDMORE,ABERFELDY RIVER @ BEARDMORE,grey,,,,,,
225216,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.683333,146.316667,JORDAN RIVER,JORDAN RIVER @ ABERFELDY,grey,,,,,,
225217,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.56089469,146.5663437,BARKLY @ GLENCAIRN,BARKLY RIVER @ GLENCAIRN,grey,,,,,,
225218,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.8101256,147.0950473,FREESTONE CREEK,FREESTONE CREEK @ BRIAGALONG,blue,1.457,20221017090000,52.5,20221017090000,0.0,20221017090000
225219,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.51621523,146.5664779,MACALISTER @ GLEN,MACALISTER RIVER @ GLENCAIRN,purple,1.059,20221017060000,2041.4,20221017060000,,
225220,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.775,147,VALENCIA @ RADETTIS,VALENCIA CREEK @ RADETTIS,grey,,,,,,
225221,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.76935073,146.6677493,MACALISTER @ STRINGY,MACALISTER RIVER @ STRINGYBARK CREEK,grey,,,,,,
225222,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.9173,146.6714,GLENMAGGIE @ SEATON,GLENMAGGIE CREEK @ SEATON (AUBREYS),grey,,,,,,
225223,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.74346413,146.9922931,VALENCIA @ GILLIO RD,VALENCIA CREEK @ GILLIO ROAD,grey,,,,,,
225224,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.80184085,146.8849073,AVON @ CHANNEL,AVON RIVER @ THE CHANNEL,blue,1.757,20221017090000,247.8,20221017090000,0.0,20221017090000
225225,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.90461,146.79998,MACALISTER @ GLENMAG,MACALISTER RIVER @ LAKE GLENMAGGIE (HEAD GAUGE),blue,76.592,20221017080000,,,0.0,20221017080000
225228,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.99666,146.65796,THOMSON @ COWWARR HG,THOMSON RIVER @ COWWARR TIMBER WEIR H.G.,grey,,,,,,
225230,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.91372476,146.6561113,GLENMAGGIE CK GORGE,GLENMAGGIE CREEK @ THE GORGE,grey,,,,,,
225231,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.97499864,146.62500398,THOM. @U/S COWWARR W,THOMSON RIVER @ U/S OF COWWARR WEIR,purple,2.797,20221017093000,1347.6,20221017093000,0.0,20221017093000
225232,WEB_SW,B_225_THOMSON,225-Thomson Basin,-38.04526544,146.9921134,THOMSON @ BUNDALAGUA,THOMSON RIVER @ BUNDALAGUAH,purple,4.421,20221017090000,4313.3,20221017090000,,
225233,WEB_SW,B_225_THOMSON,225-Thomson Basin,-38.00666667,147.2652778,PERRY @ PERRY BRIDGE,PERRY RIVER @ PERRY BRIDGE,grey,,,,,,
225234,WEB_SW,B_225_THOMSON,225-Thomson Basin,-38.0238042,147.1736143,AVON R @ CHINN'S BR,AVON RIVER @ CLYDEBANK (CHINN'S BRIDGE),grey,,,,,,
225236,WEB_SW,B_225_THOMSON,225-Thomson Basin,-38.00213184,146.7800107,RAINBOW @ HEYFIELD,RAINBOW CREEK @ HEYFIELD,grey,,,,,,
225247,WEB_SW,B_225_THOMSON,225-Thomson Basin,-38.02567825,146.97771934,MACALISTER RIVERSLEA,MACALISTER RIVER @ RIVERSLEA,grey,3.774,20221017090000,3364.0,20221017090000,,
225248,WEB_SW,B_225_THOMSON,225-Thomson Basin,-38.00479621,146.91834072,BOGGY CREEK,BOGGY CREEK @ CORNWALLS ROAD,grey,,,,,,
225254,WEB_SW,B_225_THOMSON,225-Thomson Basin,-38.14314262,147.0815391,THOMSON @ STH GIPP H,THOMSON RIVER @ STH GIPPSLAND HIGHWAY (SALE),grey,,,,,,
225255,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.8216,146.981,AVON U/S VALENCIA C,AVON RIVER U/S VALENCIA CK JUNCTION,grey,,,,,,
225256,WEB_SW,B_225_THOMSON,225-Thomson Basin,-38.00396747,146.9815133,MACALISTER D/S MAFF.,MACALISTER R D/S MAFFRA (SMITHS BR.),grey,,,,,,
225260,WEB_SW,B_225_THOMSON,225-Thomson Basin,-38.12752893,147.0689029,THOMSON RV @ MCARDLE,THOMSON RIVER @ MCARDLE'S GAP,grey,,,,,,
225600,WEB_SW,B_225_THOMSON,225-Thomson Basin,-38.11583333,147.2191667,LAKE WELLINGTON SALE,LAKE WELLINGTON @ SALE,grey,,,,,,
225703,WEB_SW,B_225_THOMSON,225-Thomson Basin,-37.99878619,146.6584252,THOMSON DIVERSION,THOMSON RIVER DIVERSION CHANNEL @ COWWARR WEIR,grey,,,,,,
225711,WEB_SW,B_225_THOMSON,225-Thomson Basin,-38.06194444,147.1391667,WELLINGTON M.WEIR,LAKE WELLINGTON DRAIN @ 5 MILES 32 CHAIN MEASURING WEIR,grey,,,,,,
225715,WEB_SW,B_225_THOMSON,225-Thomson Basin,-38.07090719,146.8699168,DRAIN 3 @ NAMBROK,CENTRAL GIPPSLAND DRAIN 3 @ NAMBROK (RD 1066M),grey,,,,,,
225716,WEB_SW,B_225_THOMSON,225-Thomson Basin,-38.08531453,146.9030741,DR3. @ DROP STRUCT.,CENTRAL GIPPSLAND 1/2 DRAIN 3 @ DROP STRUCTURE (RD500),grey,,,,,,
