Site Id,Site Name,Latitude,Longitude
409003,Edward River At Deniliquin,-35.53,144.9657
409006,Murray River At Gulpa,-35.8517,144.993
409008,Edward River At Offtake,-35.8479,144.9979
409016,Murray River At Downstream Hume Dam (Heywoods),-36.09927778,147.02398333
409017,Murray River At Doctors Point,-36.11256944,146.93990833
409019,Wakool River At Offtake Regulator,-35.5017,144.8854
409020,Yallakool Creek At Offtake,-35.4513,144.7703
409021,Wakool District Main Canal Upstream Of Regulator,-35.4483,144.7091
409022,Wakool District Main Canal Downstream Of Regulator,-35.4493,144.7074
409023,Edward River Downstream Of Stevens Weir,-35.434342,144.758475
409024,Colligen Creek At Below Regulator,-35.4469,144.711
409025,Murray River Downstream Yarrawonga Weir,-36.0114,145.994
409029,Escape From Mulwala Canal At Edwards River,-35.5645,145.0083
409030,Gulpa Creek At Offtake,-35.8489,144.9882
409037,Murray River At Howlong,-35.9764,146.6196
409045,Wakool River At Wakool-Barham Road,-35.5105,144.2099
409047,Edward River At Toonalook,-35.6428,144.9596
409048,Niemur River At Barham - Moulamein Road,-35.2739,144.1595
409056,Tuppal Creek At Aratula Road,-35.6281,145.0552
409075,Bullatale Creek At Upstream Of Edward River,-35.6209,145.0028
409101,Edward River At Upstream Stevens Weir - Storage Gauge,-35.439595,144.763207
409108,Murray R At Upstream Main Canal Offtake Mulwala Storage,-35.9835,146.0129
409109,Thule Creek At Lower Thule Road,-35.68211549,144.35311073
409113,Barbers Creek At Barbers Pool,-35.588397,144.183064
409114,Kpf Offtake Downstream Of Regulator,-35.938898,144.477693
409115,Wakool Town Escape,-35.463968,144.397027
409202A,Murray River At Tocumwal,-35.8135,145.5557
409216A,Murray Rat Upstream Yarrawonga Weir - Storage Gauge,-36.0089,145.9994
410001,Murrumbidgee River At Wagga Wagga,-35.10080647,147.367593175
41000200,Nimbo Creek At Downstream Offtake,-35.193140044,148.195178483
41000208,Molonglo River At Kobada,-35.6141,149.4506
41000209,Yanco Creek At Wiraki,-35.29485121,145.49174005
41000210,Colombo Creek At Coonong Weir,-35.192167,146.040574
41000260,Murrumbidgee River At Yaouk No.2,-35.88474689,148.79321619
41000261,Goobarragandra River At Mac'S Crossing,-35.41826315,148.43570689
41000269,Brungle Creek At Red Hill No.2,-35.132619,148.255149
41000270,Bredbo River At Bredbo Station,-35.985058603,149.172895656
41000271,Alum Creek At Jones Plain Road,-35.999783506,148.951692032
41000272,Murrumbidgee River Upstream Michelago Creek,-35.70375814,149.13882465
41000279,Brookong Creek At Hollies Road,-35.17829,146.78208
41000280,Burkes Creek At Mangoplah,-35.36944444,147.25111111
410004,Murrumbidgee River At Gundagai,-35.075085742,148.106902393
410006,Tumut River At Tumut,-35.302526734,148.23331308
410008,Murrumbidgee River At D/S Burrinjuck Dam,-35.000997112,148.574237969
410012,Billabong Creek At Cocketgedong,-35.3142,146.0355
410016,Billabong Creek At Jerilderie,-35.3538,145.7356
410017,Billabong Creek At Conargo (Puckawidgee),-35.2859,145.2091
41001701,Numeralla River At Chakola,-36.1106197,149.19605122
41001702,Upstream Angle Crossing,-35.58482045,149.12462045
410024,Goodradigbee River At Wee Jasper (Kashmir),-35.1657,148.6869
410033,Murrumbidgee River At Mittagang Crossing,-36.1644,149.0947
410038,Adjungbilly Creek At Darbalara,-35.0177,148.2469
410039,Tumut River At Brungle Bridge,-35.1216,148.2057
410043,Hillas Creek At Mount Adrah,-35.17751,147.872897
410047,Tarcutta Creek At Old Borambola,-35.1623,147.6555
410048,Kyeamba Creek At Ladysmith,-35.19559444,147.51054444
410050,Murrumbidgee River At Billilingra,-35.9826,149.1276
410057,Goobarragandra River At Lacmalac,-35.329,148.3484
410058,Tarcutta Creek At Westbrook,-35.5392,147.9014
410059,Gilmore Creek At Gilmore,-35.335072,148.168282
410061,Adelong Creek At Batlow Road,-35.3323,148.0685
410062,Numeralla River At Numeralla School,-36.181473858,149.351292939
410073,Tumut River At Oddys Bridge,-35.3886,148.2478
410076,Strike-A-Light Creek At Jerangle Road,-35.9211,149.2384
410081,Cooma Creek At Cooma No.2 (The Grange),-36.2619,149.1352
410088,Goodradigbee River At Brindabella (No.2&No.3-Cabbans),-35.4192,148.7327
410090,Yass River At Gundaroo,-35.0653,149.2642
410091,Billabong Creek At Walbundrie,-35.6927,146.7218
410097,Billabong Creek At Aberfeldy,-35.645,147.4441
410102,Tumut River At Blowering Dam - Storage Gauge,-35.4012,148.2429
410103,Houlaghans Creek At Downside,-35.0025,147.3549
41010309,Forest Creek At Offtake,-35.324,145.294
41010399,Forest Creek Upstream Of Offtake,-35.324,145.294
410106,Gilmore Creek At Wybalena,-35.484889,148.19077
410107,Mountain Creek At Mountain Creek,-35.026,148.8323
410108,Drainage Canal 800 At Outfall,-35.1037,145.7833
41010810,Billabong Creek At Wanganella,-35.2123,144.8165
410114,Killimcat Creek At Wyangle,-35.2339,148.3057
410131,Murrumbidgee River At Burrinjuck Dam - Storage Gauge,-35.0,148.5989
410133,Coleambally Outfall Drain At Near Bundy,-35.0341,144.4564
410134,Billabong Creek At Darlot,-35.0442,144.4464
410137,Beavers Creek At Mundowey,-35.0637,147.1246
410141,Micaligo Creek At Michelago,-35.7037,149.15
410143,Murrumbidgee River At Eringoarrah,-35.0772,147.6868
410148,Forest Creek At Warriston Weir,-35.3386,145.1206
410152,Stony Creek At Edwardstown,-35.1362,148.111
410155,Tarcutta Creek At Belmore Bridge,-35.4733,147.8549
410156,Kyeamba Creek At Book Book,-35.3511,147.5529
410160,Williams Creek At White Hill,-34.9535,149.1886
410168,Billabong Creek At Downstream Hartwood Weir,-35.3101,145.2884
410169,Yanco Creek At Yanco Bridge,-35.14838977,145.77312271
410170,Billabong Creek At Upstream Innes Bridge,-35.3223,145.9753
410182,Billabong Creek At Hillview,-35.717,146.8462
410183,Billabong Creek At Parkside,-35.6972,146.8855
410185,Nowranie Creek At Downstream Offtake Billabong Creek,-35.433,146.1257
410186,Billabong Creek Downstream Ten Mile & Mountain Creeks,-35.6855,147.185
410187,Ten Mile Creek At Holbrook No.3,-35.756,147.3464
410191,Coleambally Catchment Drain At Outfall Into Yanco Creek,-34.9885,146.1962
410195,Murrumbidgee River At Upstream Gobarralong Bridge,-34.986090378,148.250078186
410199,Tumut River At U/S Nimbo Offtake,-35.1931,148.1952
410700,Cotter River At Kiosk,-35.3248,148.9415
410705,Molonglo River At Burbong,-35.33561111,149.31322222
410730,Cotter River At Gingera,-35.58805556,148.82191667
410738,Murrumbidgee River At Mt. Macdonald,-35.29166431,148.95527639
410747,Cotter River Below Bendora Dam,-35.44527778,148.82938889
410752,Cotter River Below Corin Dam,-35.53172222,148.83594444
410756,Molonglo River Below Coppins Crossing,-35.27360722,149.00860983
410761,Murrumbidgee River Below Lobbs Hole Creek,-35.53813889,149.10119444
410770,Queanbeyan River At A.C.T. Border,-35.34227778,149.2315
410777,Murrumbidgee River At Hall'S Crossing,-35.13136111,148.94475
410851,Yass River At Above Macks Reef Road,-35.1871,149.2741
411003,Butmaroo Creek At Butmaroo,-35.2551,149.5434
572028,Upper Goobarragandra Tbrg At Broken Cart Road,-35.47520803,148.59569343
572031,Long Plain Tbrg At Peppercorn Fire Trail,-35.57505665,148.58256468
573015,Mundarlo Tbrg At Mundarlo Road,-35.08847,147.86006
573016,Adjungbilly Tbrg At Parson Creek Road,-35.05079804,148.41450939
073019,Junee Tbrg At Junee Treatment Works,-34.845715,147.571342
212008,Coxs River At Bathurst Road,-33.4277,150.0825
212009,Wingecarribee River At Greenstead,-34.42472222,150.19138889
212011,Coxs River Downstream Lake Lyell,-33.5343,150.0951
212013,Megalong Creek At Narrow Neck,-33.730728,150.242858
212016,Kedumba River At Kedumba Crossing,-33.80239869,150.3642533
212031,Wingecarribee River At Bong Bong Weir,-34.53472269,150.39694468
212040,Kialla Creek At Pomeroy,-34.6074,149.5442
212042,Farmers Creek At Mount Walker,-33.4962,150.0984
212045,Coxs River At Island Hill,-33.760586,150.195247
212054,Coxs River At Wallerawang Power Station,-33.3971,150.0839
212055,Neubecks Creek Upstream Of Wallerawang Colliery,-33.3568,150.0573
212058,Coxs River Upstream Lake Lyell,-33.485416,150.076872
212060,Tarlo River At Willowbank,-34.61158701,149.88303869
212250,Coxs River At Kelpie Point,-33.87124191,150.25401365
2122512,Coxs River At Glenroy Bridge,-33.54499967,150.14055554
2122517,Mittagong Creek At Bowral Stp D/S,-34.493436,150.393664
2122518,Wollondilly River @ Rossi Weir,-34.73666667,149.67944444
2122520,Whites Creek At D/S Moss Vale Stp,-34.54592,150.33737
212260,Kowmung River At Cedar Ford,-33.94805556,150.24305556
212270,Wollondilly River At Jooriland,-34.22765922,150.25279208
212271,Wollondilly River At Golden Valley,-34.5491667,150.08194475
2122711,Wollondilly River @ Murrays Flat,-34.7213892,149.79305584
2122713,Tarlo River At Towrang,-34.61162,149.88297
212272,Wingecarribee River At Berrima,-34.494975,150.343422
2122725,Mulwarree River At The Towers,-34.78444413,149.69500021
2122792,Paddy'S River @ Canyonleigh,-34.58349,150.09825
212281,Cascade Creek At Cascade Creek Dam No 1 (Middle),-33.68888912,150.30361152
212282,Cascade Creek At Cascade Creek Dam No 2 (Bottom),-33.68388894,150.30583401
212283,Cascade Creek At Cascade Creek Dam No 3 (Top),-33.69138931,150.30027843
212284,Greaves Creek At Lake Medlow Dam,-33.65861165,150.29916647
212285,Greaves Creek At Greaves Creek Dam,-33.65472266,150.30888921
2122996,Tonalli River @ Fire Road W2 (Site No.2),-34.11194467,150.20333359
215014,Bungonia Creek At Bungonia,-34.81954,149.9885
215207,Shoalhaven River At Fossickers Flat,-34.81921893,150.18212994
215212,Shoalhaven River At Tallowa Dam,-34.77156257,150.315266
2152131,Bundanoon Creek At The Rocks,-34.734489,150.284944
215215,Shoalhaven River Downstream Tallowa Dam,-34.77777778,150.31583333
41000207,Muttama Creek At Berthong Road,-34.5956,148.0177
41000254,Jugiong Creek At Cumbamurra No.2,-34.701533,148.5302674
41000282,Mirrool Creek At Barellan Road,-34.334717,146.577569
410005,Murrumbidgee River At Narrandera,-34.755169141,146.548534012
410013,Main Canal At Berembed,-34.8779,146.836
410023,Murrumbidgee River At D/S Berembed Weir,-34.8797,146.836
410025,Jugiong Creek At Jugiong (Inverlockie),-34.7877,148.377
410026,Yass River At Yass,-34.8352,148.9115
410044,Muttama Creek At Coolac,-34.9304,148.1628
410068,Murrumbidgee River At Glendale,-34.90940783,148.550879079
410092,Cunninghams Creek At Near Harden,-34.616,148.3701
410093,Old Man Creek At Kywong (Topreeds),-34.9274,146.7844
41010904,Murrumbidgee River At Berembed Weir - Storage Gauge,-34.8775,146.8376
410112,Jindalee Creek At Jindalee,-34.5746,148.0889
410138,Main Canal At D/S Bundidgerry Regulator,-34.7674,146.633
410176,Yass River At U/S Burrinjuck Dam (Riverview),-34.8633,148.7931
410190,Main Canal At Bundidgerry Regulator - Storage Gauge,-34.767,146.634
412002,Lachlan River At Cowra,-33.833,148.6839
41200208,Crowther Creek At Watervale,-33.88461585,148.60655355
41200209,Abercrombie River At Abercrombie No.2,-33.956499,149.315944
41200210,Cooksvale Creek At Upper-Montana,-34.043563,149.418045
412004,Lachlan River At Forbes (Cottons Weir),-33.410809038,147.991050384
412010,Wyangala Dam At Storage Gauge,-33.9688,148.9517
412027,Lachlan River At Reids Flat,-34.129803,149.020018
412029,Boorowa River At Prossers Crossing,-34.14253,148.811316
412030,Mandagery Creek Upstream Eugowra (Smithfield),-33.37597,148.44379
412033,Belubula River At Helensholme,-33.583482,148.482441
412036,Lachlan River D/S Jemalong Weir,-33.398997,147.774991
412050,Crookwell River At Narrawa North,-34.310902,149.167286
412056,Belubula River At The Needles,-33.58,148.8481
412057,Lachlan River At Nanami,-33.5739,148.4181
412065,Lachlan River At Narrawa,-34.397285,149.090731
412066,Abercrombie River At Hadley No.2,-34.113897,149.596721
412067,Lachlan River Downstream Wyangala Dam,-33.982508,148.935836
412077,Belubula River At Carcoar,-33.614572,149.144915
412080,Flyers Creek At Beneree,-33.5111,149.0415
412100,Jemalong Main Canal At Offtake,-33.39993,147.775358
412106,Belubula River At Carcoar Dam-Storage Gauge,-33.6179,149.1776
412134,Wattle Creek At Dudauman,-34.5955,147.8659
412139,Mandagery Creek At Glenayr,-33.36868261,148.592849267
412141,Lachlan River At Mulyandry Creek,-33.471276,148.205882
412172,Lachlan River At Jemalong Weir - Storage Gauge,-33.3999,147.776
412175,Hovells Creek At Hovells Creek No.2,-34.003677,148.872607
412195,Belubula River At Lyndon ( Upstream Canowindra),-33.57694444,148.67527778
412901,Lachlan River At Forbes Iron Bridge,-33.402512806,148.019464796
421188,Duckmaloi River At Weir Spillway,-33.75322792,149.92898922
421189,Fish River At Oberon Dam - Storage Gauge,-33.72500784,149.86464643
421201,Oberon Centroid Weather Station (Shooters Hill),-33.835273449,149.855910032
205015,Nambucca River (North Arm) U/S Bowraville,-30.6288,152.8496
205017,Taylors Arm At Upper Taylors Arm,-30.783296,152.696929
205018,South Creek At Bowraville,-30.648383,152.846001
206009,Tia River At Tia,-31.1862,151.8302
206011,Macleay River At Turners Flat,-31.007561,152.712522
206018,Apsley River At Apsley Falls,-31.0504,151.7691
206024,Macleay River At D/S Georges River Junction,-30.7517,152.2054
206025,Salisbury Waters Near Dangar Falls,-30.6795,151.7144
206033,Apsley River At Apsley Gorge,-30.9701,152.0094
206034,Mihi Creek At Abermala,-30.6979,151.707
206402,Macleay River At Traffic Bridge Kempsey,-31.081,152.8431
207004,Hastings River At Ellenborough (Kindee Bridge),-31.422471,152.471453
207006,Forbes River At Birdwood(Filly Flat),-31.382873,152.33418
207008,Stewarts River At Stewarts River,-31.725315,152.638968
207009,Camden Haven River At Kendall (Logans Crossing),-31.614355,152.693551
207010,Pappinbarra River At Beechwood,-31.421118,152.594257
207013,Ellenborough River At D/S Bunnoo River Junction,-31.479162,152.449584
207014,Wilson River At Avenel,-31.331505,152.740568
207015,Hastings River At Mount Seaview,-31.368346896,152.242533301
207017,Mortons Creek At Mortons Creek Road,-31.428758,152.689205
207018,Thone River At Deep Creek Road,-31.484857,152.530302
208001,Barrington River At Bobs Crossing,-32.0283531,151.4670793
208003,Gloucester River At Doon Ayre,-31.896573532,152.097373861
208004,Manning River At Killawarra,-31.917050698,152.311845667
208005,Nowendoc River At Rocks Crossing,-31.77346271,152.079340772
208006,Barrington River At U/S Rocky Crossing,-32.037467493,151.870859526
208007,Nowendoc River At Nowendoc,-31.51625275,151.716155374
208008,Gloucester River At Forbesdale(Faulklands),-32.057385242,151.897435723
208009,Barnard River At Barry,-31.5795,151.3154
208011,Barnard River At Mackay,-31.771374415,151.899184136
208015,Lansdowne River At Lansdowne,-31.7865998,152.514164229
208019,Dingo Creek At Munyaree Flat,-31.839817,152.29349
208020,Gloucester River At Gloucester,-32.003366011,151.959220318
208024,Barnard River At D/S Back River Junction,-31.5589418,151.3441963
208026,Myall River At Jacky Barkers,-31.640595883,151.735275833
208027,Barnard River U/S Measuring Weir,-31.6583,151.506
208028,Avon River D/S Waukivory Creek,-32.042587755,151.967789796
208029,Manning River At Leslies Bridge,-31.796571623,151.913948225
208030,Gloucester River At Bellevue,-32.056494074,151.712956865
208031,Barrington River At Relfs Road,-31.977439142,151.950453472
208032,Dingo Creek At Belbourie Bridge,-31.871768229,152.338538413
208400,Manning River At Wingham,-31.8751434,152.37117476
208420,Manning Rv At Taree West,-31.90758092,152.44115657
209002,Mammy Johnsons River At Pikes Crossing,-32.2437,151.9789
209003,Karuah River At Booral,-32.4771417,151.9575072
209006,Wang Wauk River At Willina,-32.1609,152.2609
209018,Karuah River At Dam Site,-32.2729,151.9
210002,Hunter River At Muswellbrook Bridge,-32.2578541,150.8879683
210006,Goulburn River At Coggan,-32.3444,150.1013
210011,Williams River At Tillegra,-32.3187,151.6873
210014,Rouchel Brook At Rouchel Brook (The Vale),-32.1515,151.0486
210015,Hunter River At D/S Glenbawn Dam,-32.1117,150.991
210016,Goulburn River At Kerrabee,-32.4166,150.3201
210017,Moonan Brook At Moonan Brook,-31.9423,151.2809
210018,Hunter River At Moonam Dam Site,-31.9157,151.2153
210021,Paterson River At D/S Lostock Dam,-32.3359898,151.4675608
210022,Allyn River At Halton,-32.3063,151.5129
210031,Goulburn River At Sandy Hollow,-32.344661,150.574013
210039,Hunter River At Belltrees,-32.0018,151.1104
210040,Wybong Creek At Wybong,-32.2692683,150.6354207
210044,Glennies Creek At Middle Falbrook(Fal Dam Site),-32.45110108,151.14958894
210052,Pages River At Gundy Recorder,-32.0103,150.9976
210055,Hunter River At Denman,-32.3806078,150.7116696
210056,Hunter River At Aberdeen,-32.1588,150.8811
210061,Pages River At Blandford (Bickham),-31.809757932,150.925186611
210066,Merriwa River At Upstream Vallances Creek,-32.2962243,150.3337084
210070,Isis River At Lower Timor,-31.80918375,151.05938889
210076,Antiene Creek At Liddell,-32.336248081,150.982413347
210080,West Brook At U/S Glendon Brook,-32.471594251,151.283356896
210083,Hunter River At Liddell,-32.4892,150.9236
210084,Glennies Creek At The Rocks No.2,-32.363609216,151.240554836
210091,Merriwa River At Merriwa,-32.13428333,150.35298333
210093,Kingdon Ponds Creek At Near Parkville,-31.95713381,150.856786777
210097,Hunter River At Glenbawn Dam-Storage Gauge,-32.1026,150.9926
210102,Paterson River At Lostock Dam-Storage Gauge,-32.3292,151.4569
210110,Bayswater Creek At Liddell,-32.389314157,151.000451915
210114,Carrow Brook At Carrowbrook,-32.262588833,151.312472533
210117,Glennies Creek At Glennies Creek Dam-Storage,-32.36342393,151.248624324
210118,Isis River At Stick-Me-Up Bridge,-31.9673385,151.0340307
210124,Dart Brook At Yarrandi Bridge,-32.011016572,150.784032241
210126,Hunter River At Upstream Foy Brook,-32.4849,151.0491
210127,Hunter River Upstream Glennies Creek,-32.4993696,151.0621731
210130,Foy Brook At Downstream Bowmans Ck. Bridge,-32.4702,151.0586
210136,Chichester River At Chichester,-32.2013316,151.6278093
210137,Wangat River At Wangat,-32.2093495,151.6665964
210142,Pages River U/S Kewell Creek,-31.967,151.0079
210144,Williams River At Underbank,-32.24549674,151.60561586
210146,Halls Creek At Upstream Giants Creek,-32.3308502,150.532405
210147,Wybong Creek At Manobalai,-32.182509,150.6601127
210150,Chichester River At Cipolletti Weir,-32.239117,151.695523
210151,Hunter River Down Stream Saddlers Creek,-32.463842,150.772847
210903,Williams River At Dungog (Factory Mill Race),-32.3946,151.7606
419001,Namoi River At Gunnedah,-30.972,150.2556
419006,Peel River At Carroll Gap,-30.937898,150.528072
419007,Namoi River At Downstream Keepit Dam,-30.8912,150.4961
419009,Peel River At Tamworth,-31.091243,150.925937
419010,Macdonald River At Woolbrook,-30.9654,151.3459
419015,Peel River At Piallamore,-31.182158,151.066538
419016,Cockburn River At Mulla Crossing,-31.060355,151.12621
419020,Manilla River At Brabri (Merriwee),-30.70678611,150.70328611
419022,Namoi River At Manilla Railway Bridge,-30.75158333,150.71728333
419024,Peel River At Upstream Paradise Weir,-31.100756,150.938925
419027,Mooki River At Breeza,-31.273115,150.460008
419029,Halls Creek At Ukolan,-30.7039,150.827
419032,Coxs Creek At Boggabri,-30.76198,149.98451
419033,Coxs Creek At Tambar Springs,-31.347831,149.885184
419034,Mooki River At Caroona,-31.407282,150.428432
419035,Goonoo Goonoo Creek At Timbumburi,-31.270821,150.915141
419041,Namoi River At Keepit Dam - Storage Gauge,-30.8792,150.4928
419045,Peel River D/S Chaffey Dam,-31.341803,151.143479
419054,Swamp Oak Creek At Limbri,-31.037489,151.170175
419069,Peel River At Chaffey Dam - Storage Gauge,-31.348147,151.13947
419070,Peel River At Tamworth Water Supply,-31.133637,150.965801
419073,Peel River At Appleby Crossing,-30.965822,150.852439
419074,Peel River At Bective,-30.966698,150.730125
419076,Warrah Creek At Old Warrah,-31.6584,150.6441
419081,Peel River At Taroona,-31.430696,151.135405
419084,Mooki River At Ruvigne,-31.035111,150.333777
419085,Bomera Creek At Tambar-Premer Road,-31.375513,149.871798
419086,Bundella Creek At Bundella,-31.570469,149.982986
419093,Yarraman Creek Near Spring Ridge,-31.39286,150.306451
419096,Peel River At Chaffey Dam Outlet Works,-31.346068,151.139919
419097,Goonoo Goonoo Creek At Meadows Lane,-31.181543,150.923308
419098,Quirindi Creek At Greenacres,-31.409413,150.485731
419099,Cockburn River At Kootingal,-31.063379,151.055748
419102,Coxs Creek At Tourable,-31.08718994,149.90488377
419103,Dungowan Creek At Us Dungowan,-31.222419,151.129572
419104,Moore Creek At Slippery Rock,-31.0146718,150.96236
419106,Quirindi Creek At Dury Bridge,-31.466017,150.620229
419114,Cockburn River At D/S Kootingal Bridge Weir,-31.063655,151.054889
421150,Cudgegong River At Wilbertree Road,-32.5086,149.57
D21019006,Hrsts Liddell Coal,-32.391249,151.005467
D21019009,Hrsts Hvo Lemington Lake James,-32.520593,151.051178
D21019020,Hrsts Mangoola Coal,-32.300725,150.694132
D21019081,Hrsts Hvo Howick Coal,-32.455813,150.93318
D21019111,Hrsts Dartbrook Coal,-32.19569,150.861571
D21019990,Hrsts Hvo Coal Dam11,-32.486152,151.009483
D21019992,Hrsts Mt Arthur Coal,-32.294608,150.856655
D21019993,Hrsts Ravensworth 1000M Dam,-32.474542077,151.052192432
D21019996,Hrsts Bayswater Power Station,-32.386741,150.998877
D21019999,Hrsts Bengalla Coal,-32.278125,150.814944
73019,Junee Tbrg At Junee Treatment Works,-34.845715,147.571342
211009,Wyong River At Gracemere,-33.2703547,151.3595891
211010,Jilliby Creek At U/S Wyong River (Durren Lane),-33.2453775,151.391474
211013,Ourimbah Creek At U/S Weir,-33.3483165,151.3433085
211014,Wyong River At Yarramalong,-33.2186734,151.2748169
211015,Ourimbah Creek D/S Bangalow Creek,-33.328024,151.389524
211017,Wyong River At Wyong Fishway,-33.2778365,151.4060752
212008,Coxs River At Bathurst Road,-33.4277,150.0825
212009,Wingecarribee River At Greenstead,-34.42472222,150.19138889
212011,Coxs River Downstream Lake Lyell,-33.5343,150.0951
212013,Megalong Creek At Narrow Neck,-33.730728,150.242858
212016,Kedumba River At Kedumba Crossing,-33.80239869,150.3642533
212031,Wingecarribee River At Bong Bong Weir,-34.53472269,150.39694468
212040,Kialla Creek At Pomeroy,-34.6074,149.5442
212042,Farmers Creek At Mount Walker,-33.4962,150.0984
212045,Coxs River At Island Hill,-33.760586,150.195247
212048,South Creek At Great Western Highway,-33.7694,150.761844
212049,Ropes Creek At Debrincat Avenue,-33.753217,150.792394
212053,Stonequarry Creek At Picton,-34.177639,150.611847
212054,Coxs River At Wallerawang Power Station,-33.3971,150.0839
212055,Neubecks Creek Upstream Of Wallerawang Colliery,-33.3568,150.0573
212058,Coxs River Upstream Lake Lyell,-33.485416,150.076872
212059,Cattai Creek At Murphys Bridge,-33.658933,150.930414
212060,Tarlo River At Willowbank,-34.61158701,149.88303869
212063,Lake Nerrigorang At Thirlmere Lakes,-34.22289316,150.53431691
212064,Blue Gum Creek At D/S Thirlmere Lakes,-34.22526959,150.52697568
212065,Lake Baraba At Thirlmere Lakes,-34.23112736,150.53581349
212066,Lake Couridjah At Thirlmere Lakes,-34.23233929,150.54229091
212067,Lake Werri Berri At Thirlmere Lakes,-34.22375126,150.54112957
212068,Lake Gandangarra At Thirlmere Lakes,-34.21793808,150.54346911
212200,Hawkesbury River At North Richmond,-33.58930125,150.71403109
