attributes.bom_stn_num,attributes.name,attributes.lat,attributes.long,attributes.state,attributes.location_types,attributes.basin
58206,Corndale (Coopers Creek),-28.7231,153.3614,NSW,rain gauge;water level gauge;model point;,Richmond River
58207,Busbys Flat,-29.0374,152.8055,NSW,rain gauge;,Richmond River
58208,Casino Airport Aws,-28.8824,153.0618,NSW,rain gauge;,Richmond River
58212,Evans Head Raaf Bombing Range Aws,-29.183,153.3964,NSW,rain gauge;,Clarence River
58214,Lismore Airport Aws,-28.8305,153.2601,NSW,rain gauge;,Richmond River
58216,Cape Byron Aws,-28.6399,153.6358,NSW,rain gauge;,Brunswick River
58222,Minnie Water (Pump Shed),-29.7847,153.2639,NSW,rain gauge;,Bellinger River
58231,South Grafton  (Clarence Regional Landfill),-29.7664,152.9231,NSW,rain gauge;,Clarence River
59007,Kempsey Airport Aws,-31.0711,152.7717,NSW,rain gauge;,Macleay River
59032,Taylors Arm,-30.7794,152.7024,NSW,rain gauge;,Bellinger River
59045,Meldrum (Coolawarrah),-30.3614,152.4917,NSW,rain gauge;,Clarence River
59054,Glenreagh (Coramba Street),-30.0481,152.9773,NSW,rain gauge;,Clarence River
59060,Wittitrin,-31.1167,152.6833,NSW,rain gauge;,Macleay River
59070,Upper Darkwood,-30.4508,152.6231,NSW,rain gauge;,Bellinger River
59078,Bellingen (Crystal Creek),-30.3488,152.9025,NSW,rain gauge;,Bellinger River
59107,Girralong,-30.566,152.6528,NSW,rain gauge;,Bellinger River
59122,Bellbrook (Macleay River),-30.8217,152.5067,NSW,rain gauge;water level gauge;model point;,Macleay River
59124,Nymboida (Nymboida River),-29.9806,152.7222,NSW,rain gauge;water level gauge;model point;,Clarence River
59128,Moparrabah (Parrabel Creek),-30.9783,152.5106,NSW,rain gauge;water level gauge;model point;,Macleay River
59131,Millbank,-30.8796,152.6113,NSW,rain gauge;,Macleay River
59140,Dorrigo (Old Coramba Rd),-30.3444,152.7187,NSW,rain gauge;,Clarence River
59146,Kooroowi (Sharabel),-30.4686,152.8187,NSW,rain gauge;,Bellinger River
59147,Cooks Ck (Kalang),-30.5303,152.7386,NSW,rain gauge;,Bellinger River
59148,Spicketts Ck (Noonannie),-30.5617,152.8708,NSW,rain gauge;,Bellinger River
59151,Coffs Harbour Airport,-30.3189,153.1162,NSW,rain gauge;,Bellinger River
59152,Lowanna (Lowanna Road),-30.2109,152.908,NSW,rain gauge;,Clarence River
60013,Forster - Tuncurry Marine Rescue,-32.1756,152.5089,NSW,rain gauge;,Karuah River
60015,Gloucester Post Office,-32.0063,151.9597,NSW,rain gauge;,Manning River
60042,Craven (Longview),-32.1532,151.9511,NSW,rain gauge;,Manning River
60052,Upper Rollands Plains (Greenacres),-31.2322,152.5906,NSW,rain gauge;,Hastings River
60065,Wootton,-32.2942,152.3047,NSW,rain gauge;,Karuah River
60067,Upper Pappinbarra (Hillcrest),-31.2821,152.4315,NSW,rain gauge;,Hastings River
60069,Cooplacurripa,-31.6317,151.9586,NSW,rain gauge;,Manning River
60075,Upper Bowman,-31.95,151.7923,NSW,rain gauge;,Manning River
60085,Yarras (Mount Seaview),-31.3865,152.2482,NSW,rain gauge;,Hastings River
60095,Bungwahl,-32.375,152.3808,NSW,rain gauge;,Karuah River
60096,Cabbage Tree Mountain,-32.2583,152.1208,NSW,rain gauge;,Karuah River
60099,Crawford,-32.4421,152.1571,NSW,rain gauge;,Karuah River
60103,Krambach (Tipperary),-32.0641,152.1243,NSW,rain gauge;,Karuah River
60104,Nowendoc (Green Hills),-31.4138,151.598,NSW,rain gauge;,Manning River
60116,Kindee Bridge (Hastings River),-31.4367,152.4633,NSW,rain gauge;water level gauge;model point;,Hastings River
60117,Mount George (Manning River),-31.8833,152.15,NSW,rain gauge;water level gauge;model point;,Manning River
60118,Rocks Crossing (Nowendoc River),-31.7753,152.0778,NSW,rain gauge;water level gauge;model point;,Manning River
60121,Elands (Black Sands Creek),-31.5667,152.2401,NSW,rain gauge;,Hastings River
60128,Barry (Barnard River),-31.5795,151.3154,NSW,rain gauge;water level gauge;,Manning River
60130,Forbes River (Birdwood),-31.2936,152.3121,NSW,rain gauge;,Hastings River
60137,Bretti-Mackay (Barnard River),-31.7683,151.8889,NSW,rain gauge;water level gauge;model point;,Manning River
60141,Taree Airport Aws,-31.8895,152.512,NSW,rain gauge;,Manning River
60147,Killabakh,-31.7347,152.4,NSW,rain gauge;,Manning River
60148,Willina,-32.1609,152.2626,NSW,rain gauge;,Karuah River
60152,Cobark,-31.955,151.7278,NSW,rain gauge;,Manning River
60153,Moppy Lookout (Barrington Tops),-31.892,151.555,NSW,rain gauge;,Manning River
60155,Waukivory,-32.1289,152.0606,NSW,rain gauge;,Manning River
60161,Comboyne (Public School),-31.6061,152.4719,NSW,rain gauge;,Hastings River
60162,Cooplacurripa (Hawkins Rd),-31.5949,151.8274,NSW,rain gauge;,Manning River
60163,Yarras Mountain,-31.4621,152.3245,NSW,rain gauge;,Hastings River
60164,Yarrowitch (Rushbrook),-31.3461,152.0087,NSW,rain gauge;,Manning River
60165,Mooral Creek (The Den),-31.6642,152.3705,NSW,rain gauge;,Manning River
60168,Port Macquarie Airport Aws,-31.4343,152.8662,NSW,rain gauge;,Hastings River
61007,Bunnan (Milhaven),-32.0332,150.5836,NSW,rain gauge;,Hunter River
61010,Clarence Town (Prince St),-32.5865,151.7743,NSW,rain gauge;,Hunter River
61012,Cooranbong (Avondale),-33.0888,151.4626,NSW,rain gauge;,Macquarie-Tuggerah Lakes
61017,Dungog Post Office,-32.4022,151.7581,NSW,rain gauge;,Hunter River
61024,Gresford Post Office,-32.4266,151.5376,NSW,rain gauge;,Hunter River
61055,Newcastle Nobbys Signal Station Aws,-32.9184,151.7985,NSW,rain gauge;,Hunter River
61056,Pokolbin (Ben Ean),-32.7965,151.2804,NSW,rain gauge;,Hunter River
61078,Williamtown Raaf,-32.7939,151.8364,NSW,rain gauge;,Hunter River
61092,Elderslie,-32.5932,151.3335,NSW,rain gauge;,Hunter River
61100,Broke (Harrowby),-32.7667,151.0872,NSW,rain gauge;,Hunter River
61110,Howes Valley (Commission Rd),-32.8736,150.7921,NSW,rain gauge;,Hawkesbury River
61135,Upper Rouchel (Mount View),-32.1018,151.2333,NSW,rain gauge;,Hunter River
61146,Carrow Brook,-32.2722,151.3052,NSW,rain gauge;,Hunter River
61151,Chichester Dam,-32.2426,151.683,NSW,rain gauge;,Hunter River
61152,Congewai (Greenock),-32.9995,151.2908,NSW,rain gauge;,Hunter River
61185,Glenbawn Dam D/S,-32.1125,150.9917,NSW,rain gauge;water level gauge;model point;,Hunter River
61195,Murrurundi (Timor),-31.773,151.0776,NSW,rain gauge;,Hunter River
61196,Ellerston (Poitrel),-31.7069,151.2131,NSW,rain gauge;,Hunter River
61201,Watagan Central,-33.0258,151.188,NSW,rain gauge;,Hunter River
61204,Baerami Creek (Bronwyn Park),-32.5356,150.4483,NSW,rain gauge;,Hunter River
61209,Putty Tea Rooms,-32.9597,150.675,NSW,rain gauge;,Hawkesbury River
61211,Colo Heights (Mountain Pines),-33.3571,150.7074,NSW,rain gauge;,Hawkesbury River
61217,St Albans (Espie St),-33.2904,150.9708,NSW,rain gauge;,Hawkesbury River
61226,Wollombi (St Johns Church),-32.9379,151.1403,NSW,rain gauge;,Hunter River
61238,Pokolbin (Somerset),-32.8126,151.3043,NSW,rain gauge;,Hunter River
61250,Tocal Aws,-32.6296,151.5919,NSW,rain gauge;,Hunter River
61260,Cessnock Airport Aws,-32.7914,151.3369,NSW,rain gauge;,Hunter River
61268,Maitland Belmore Bridge (Hunter River),-32.73,151.555,NSW,rain gauge;water level gauge;model point;,Hunter River
61282,Dora Creek (Dora St),-33.086,151.5085,NSW,rain gauge;,Macquarie-Tuggerah Lakes
61287,Merriwa (Roscommon),-32.1852,150.1737,NSW,rain gauge;,Hunter River
61288,Lostock Dam,-32.3322,151.4595,NSW,rain gauge;water level gauge;reservoir;,Hunter River
61290,Upper Allyn Township,-32.1621,151.4905,NSW,rain gauge;,Hunter River
61299,Belmont Wwtp,-33.0464,151.6711,NSW,rain gauge;,Macquarie-Tuggerah Lakes
61306,Kars Springs (Welldun),-31.8988,150.658,NSW,rain gauge;,Hunter River
61309,Milbrodale (Hillsdale),-32.688,150.9728,NSW,rain gauge;,Hunter River
61316,Merriwa (Mar-Lea),-32.0666,150.2326,NSW,rain gauge;,Hunter River
61334,Glen Alice,-33.0488,150.2325,NSW,rain gauge;,Hawkesbury River
61336,Putty (The Gibba),-33.1556,150.6847,NSW,rain gauge;,Hawkesbury River
61339,Mill Dam Falls (Williams River),-32.5584,151.8043,NSW,rain gauge;water level gauge;model point;,Hunter River
61346,Hunter Springs (Wondecla),-31.8626,151.4398,NSW,rain gauge;,Hunter River
61349,Gostwyck Bridge (Paterson River),-32.5667,151.6083,NSW,rain gauge;water level gauge;model point;,Hunter River
61350,Upper Chichester (Simmonds),-32.1714,151.5942,NSW,rain gauge;,Hunter River
61360,Scone (Kingdon Ponds),-32.05,150.8528,NSW,rain gauge;water level gauge;model point;,Hunter River
61363,Scone Airport Aws,-32.0335,150.8264,NSW,rain gauge;,Hunter River
61364,Dungog (Leawood),-32.3655,151.6826,NSW,rain gauge;,Hunter River
61366,Norah Head Aws,-33.2814,151.5766,NSW,rain gauge;,Macquarie-Tuggerah Lakes
61372,Blandford (Pages River),-31.8017,150.925,NSW,rain gauge;water level gauge;model point;,Hunter River
61373,Parkville (Kingdon Ponds),-31.9583,150.8567,NSW,rain gauge;water level gauge;model point;,Hunter River
61375,Mangrove Mountain Aws,-33.2894,151.2107,NSW,rain gauge;,Hawkesbury River
61380,Jilliby (Jilliby Creek),-33.2486,151.39,NSW,rain gauge;water level gauge;model point;,Macquarie-Tuggerah Lakes
61381,Mount Elliot,-33.4022,151.3939,NSW,rain gauge;,Macquarie-Tuggerah Lakes
61382,Kulnura (Jeavons),-33.1681,151.2181,NSW,rain gauge;,Macquarie-Tuggerah Lakes
61383,Gears (Wyong River),-33.2528,151.316,NSW,rain gauge;water level gauge;model point;,Macquarie-Tuggerah Lakes
61384,Kangy Angy (Ourimbah Creek),-33.3319,151.3833,NSW,rain gauge;water level gauge;model point;,Macquarie-Tuggerah Lakes
61385,Wyong (Olney Forest),-33.0776,151.3417,NSW,rain gauge;,Macquarie-Tuggerah Lakes
61392,Murrurundi Gap Aws,-31.7416,150.7937,NSW,rain gauge;,Namoi River
61401,Scone (Figtree Gully),-32.0442,150.9022,NSW,rain gauge;,Hunter River
61402,Scone (Stoney Creek),-31.8308,150.8275,NSW,rain gauge;,Hunter River
61406,Blacksmiths,-33.0814,151.6521,NSW,rain gauge;,Macquarie-Tuggerah Lakes
61412,Lake Macquarie Aws,-33.0887,151.4636,NSW,rain gauge;,Macquarie-Tuggerah Lakes
61413,Careys Peak (Barrington Tops),-32.0544,151.4706,NSW,rain gauge;,Manning River
61415,Upper Myall Creek,-32.3492,151.6447,NSW,rain gauge;,Hunter River
61418,Mount Barrington,-32.04,151.4039,NSW,rain gauge;,Hunter River
61419,Mount Palmer,-31.8293,150.3479,NSW,rain gauge;,Namoi River
61420,Mirannie (Maeranie Station),-32.3923,151.374,NSW,rain gauge;,Hunter River
61421,Tangory Mountain,-32.5553,151.379,NSW,rain gauge;,Hunter River
61422,Milbrodale School,-32.6965,151.0053,NSW,rain gauge;,Hunter River
61423,Baerami (The Old Dairy),-32.377,150.4851,NSW,rain gauge;,Hunter River
61425,Gosford Aws,-33.4351,151.3614,NSW,rain gauge;,Hawkesbury River
61428,Maitland Airport Aws,-32.7023,151.4881,NSW,rain gauge;,Hunter River
61430,Singleton Defence Aws,-32.6976,151.1564,NSW,rain gauge;,Hunter River
61431,Murrurundi (Haydon Street),-31.7678,150.8418,NSW,rain gauge;,Hunter River
61432,Palm Grove (Lyrebird Lane),-33.2979,151.302,NSW,rain gauge;,Macquarie-Tuggerah Lakes
62010,Stuart Town (Mooker Hill),-32.8221,149.0723,NSW,rain gauge;,Macquarie-Bogan Rivers
62026,Rylstone (Ilford Rd),-32.8079,149.977,NSW,rain gauge;,Macquarie-Bogan Rivers
62036,Ulan Water,-32.2807,149.741,NSW,rain gauge;,Hunter River
558031,Dunoon,-28.6755,153.3229,NSW,rain gauge;,Richmond River
