STATION,STNAME,SHORTNAME,GAUGE,DATUM,CATCHAREA,ZONE,EASTING,NORTHING,GRDATUM,LATITUDE,LONGITUDE,LLDATUM,POSACC,ELEV,ELEVACC,FIELD,LAB,ACTIVE,COMMENCED,CEASED,REGION
223217,NICHOLSON RIVER @ PUMP HOUSE,NICHOLSON R @ PUMP H,.000,AHD,.00000,55,564088.000,5821594.000,UTM,-37.750583950,147.727489300,GDA94,NULL,.000,NULL,y,N,1,2011-01-20,NULL,223
223218,Nicholson River @ Granite Rock,Nicholson R @ GR,NULL,NULL,NULL,55,561277.445,5824164.128,NULL,-37.727613000,147.695371000,NULL,GPS,.000,NULL,N,N,1,NULL,NULL,223
223802,RAINGAUGE @ MOUNT ELIZABETH SOMMERVILLE TRACK,RG MT ELIZABETH TRK,NULL,NULL,NULL,55,580733.000,5851999.000,UTM,-37.475247030,147.913057000,GDA94,NULL,.000,NULL,N,N,1,2011-01-19,NULL,223
223804,RG @ Brookville,RG # Brookville,NULL,NULL,NULL,55,555011.596,5869165.586,NULL,-37.322410000,147.620900000,NULL,NULL,.000,NULL,Y,N,1,2021-03-26,NULL,223
224200,MITCHELL RIVER @ BAIRNSDALE,MITCHELL @ BAIRNS,.000,ARB,4425.00000,55,552241.000,5813267.000,UTM,-37.826386090,147.593616540,WGS84,9,.000,1,Y,N,1,1889-04-01,NULL,224
224201,WONNANGATTA RIVER @ WATERFORD,WATERFORD,175.337,AHD,1979.00000,55,514714.000,5850745.000,UTM,-37.489960860,147.166443700,WGS84,9,183.000,9,n,N,1,1922-03-24,NULL,224
224203,MITCHELL RIVER @ GLENALADALE,MITCHELL GLENALADALE,28.951,AHD,3903.00000,55,533010.000,5820334.000,UTM,-37.763589910,147.374777600,WGS84,9,.000,1,Y,Y,1,1937-08-07,NULL,224
224206,WONNANGATTA RIVER @ CROOKED RIVER,WONNANGATTA @CROOKED,240.829,AHD,1096.00000,55,507891.000,5859903.000,UTM,-37.407496900,147.089164520,WGS84,9,.000,1,Y,Y,1,1953-05-07,NULL,224
224213,DARGO RIVER @ LOWER DARGO ROAD,DARGO @ L DARGO RD,172.824,AHD,676.00000,55,523752.000,5850152.000,UTM,-37.495117620,147.268699200,WGS84,9,.000,1,Y,Y,1,1973-05-24,NULL,224
224214,WENTWORTH RIVER @ TABBERABBERA,WENTWORTH @TABBERA'A,.000,ARB,443.00000,55,534808.000,5850099.000,UTM,-37.495244660,147.393772700,WGS84,9,.000,1,Y,N,1,1974-07-04,NULL,224
224217,MITCHELL RIVER @ ROSEHILL,MITCHELL @ ROSEHILL,.000,ARB,4413.00000,55,550366.000,5814542.000,UTM,-37.815000360,147.572223120,WGS84,9,27.000,1,Y,Y,1,1976-10-29,NULL,224
224220,RAIN GAUGE (BOGGY CREEK) @ BULLUMWAAL,RG @ BULLUMWAAL,178.885,AHD,83.00000,55,548565.500,5830013.300,UTM,-37.675657580,147.550733730,WGS84,9,.000,1,n,N,1,1991-02-26,NULL,224
224222,MITCHELL RIVER U/S GLENALADALE PUMPHOUSE,MITCHELL R GLENA. PS,.000,ARB,.00000,55,532443.000,5823351.000,UTM,-37.736550000,147.368200000,WGS84,NULL,.000,NULL,y,N,1,2009-12-18,NULL,224
224601,Macleod Morass - Site 2 Western Bank,Macleod Site 2 WB,NULL,NULL,NULL,55,556389.907,5808742.151,NULL,-37.866919440,147.641111110,NULL,NULL,.000,NULL,N,N,1,NULL,NULL,224
224602,Macleod Morass - Site 1 Regulator,Macleod Site 1 Reg,NULL,NULL,NULL,55,556120.470,5810682.965,NULL,-37.849444440,147.637897220,NULL,NULL,.000,NULL,N,N,1,2021-05-25,NULL,224
225114,THOMSON RIVER @ D/S WHITELAWS CREEK,THOMSON R WHITELAWS,.000,NULL,155.30000,55,436711.000,5825795.000,UTM,-37.712777770,146.281945600,WGS84,9,.000,1,N,Y,1,1987-03-27,NULL,225
225201,AVON RIVER @ STRATFORD,AVON @ STRATFORD,6.479,AHD,1485.00000,55,506676.000,5797653.000,UTM,-37.968586800,147.076006100,WGS84,9,12.000,9,Y,Y,1,1976-11-01,NULL,225
225209,MACALISTER RIVER @ LICOLA,MACALISTER @ LICOLA,2.000,AHD,1233.00000,55,466762.000,5835198.000,UTM,-37.629610370,146.623312300,WGS84,9,.000,1,Y,Y,1,1952-08-01,NULL,225
225210,THOMSON RIVER @ THE NARROWS,THOMSON @ NARROWS,247.080,AHD,518.00000,55,447491.263,5806094.894,UTM,-37.891010000,146.402820000,WGS84,9,.000,1,N,Y,1,1953-06-11,NULL,225
225212,THOMSON RIVER @ WANDOCKA,THOMSON @ WANDOCKA,19.423,AHD,1417.00000,55,489554.000,5792978.000,UTM,-38.010686380,146.881004600,WGS84,9,.000,1,Y,Y,1,1963-03-29,NULL,225
225213,ABERFELDY RIVER @ BEARDMORE,ABERFELDY @BEARDMORE,305.552,AHD,311.00000,55,450135.000,5810238.000,UTM,-37.853818450,146.433171900,WGS84,9,336.000,1,Y,Y,1,1963-06-27,NULL,225
225218,FREESTONE CREEK @ BRIAGALONG,FREESTONE CREEK,63.238,AHD,309.00000,55,508366.400,5815232.800,NULL,-37.810125600,147.095047300,NULL,NULL,78.000,1,Y,Y,1,1967-04-12,NULL,225
225219,MACALISTER RIVER @ GLENCAIRN,MACALISTER @ GLEN,293.540,AHD,570.00000,55,461689.000,5847757.000,UTM,-37.516215230,146.566477900,WGS84,9,.000,1,Y,N,1,1967-04-07,NULL,225
225221,MACALISTER RIVER @ STRINGYBARK CREEK,MACALISTER @ STRINGY,105.249,AHD,1542.00000,55,470738.000,5819709.000,UTM,-37.769350730,146.667749300,WGS84,9,.000,1,n,n,1,1968-03-18,2018-09-03 00:00:00.000,225
225223,VALENCIA CREEK @ GILLIO ROAD,VALENCIA @ GILLIO RD,85.481,AHD,195.00000,55,499321.000,5822633.000,UTM,-37.743464130,146.992293100,WGS84,9,99.000,1,Y,Y,1,1971-09-06,NULL,225
225224,AVON RIVER @ THE CHANNEL,AVON @ CHANNEL,72.000,AHD,554.00000,55,489868.000,5816150.000,UTM,-37.801840850,146.884907300,WGS84,9,96.000,1,Y,Y,1,1972-07-12,NULL,225
225231,THOMSON RIVER @ U/S OF COWWARR WEIR,THOM. @U/S COWWARR W,69.400,AHD,1080.00000,55,467065.000,5796878.000,UTM,-37.974998640,146.625003980,WGS84,9,.000,1,Y,Y,1,1976-04-01,NULL,225
225232,THOMSON RIVER @ BUNDALAGUAH,THOMSON @ BUNDALAGUA,5.094,AHD,3538.00000,55,499308.000,5789148.000,UTM,-38.045265440,146.992113400,WGS84,9,20.000,9,Y,Y,1,1976-11-03,NULL,225
225234,AVON RIVER @ CLYDEBANK (CHINN'S BRIDGE),AVON R @ CHINN'S BR,-.210,ARB,1584.00000,55,515238.000,5791515.000,UTM,-38.023804200,147.173614300,WGS84,9,5.000,9,Y,Y,1,1977-05-05,NULL,225
225247,MACALISTER RIVER @ RIVERSLEA,MACALISTER RIVERSLEA,.000,GAU,.00000,55,498044.500,5791335.700,MGA94,-38.025678250,146.977719340,GDA94,1,19.000,1,Y,Y,1,1996-12-16,NULL,225
225801,RAIN GAUGE (MACALISTER RIVER) @ MURDERERS HILL,RG @ MURDERERS HILL,.000,NULL,.00000,55,460964.000,5810725.000,UTM,-37.849957390,146.556290300,WGS84,9,738.000,1,Y,N,1,1970-06-08,NULL,225
225802,RAIN GAUGE (MACALISTER RIVER) @ MOUNT TAMBORITHA,RG @ MT. TAMBORITHA,.000,NULL,.00000,55,472550.000,5853466.000,UTM,-37.465144220,146.689590500,WGS84,9,1380.000,1,Y,N,1,1986-04-01,NULL,225
225809,RAIN GAUGE (AVON RIVER) @ MOUNT WELLINGTON,RG @ MT WELLINGTON,.000,NULL,.00000,55,487412.000,5850069.000,UTM,-37.496085500,146.857593800,WGS84,9,1544.000,1,Y,N,1,1997-05-21,NULL,225
225810,RAIN GAUGE (AVON RIVER) @ REEVE KNOB,RG @ REEVE KNOB,.000,NULL,.00000,55,500533.200,5846182.000,UTM,-37.531207090,147.006034840,WGS84,9,1265.000,1,Y,N,1,1997-05-21,NULL,225
225819,RAINGAUGE @ MT USEFUL,R.G. @ MT USEFUL,.000,NULL,.00000,55,456353.000,5827872.000,UTM,-37.695204400,146.504911900,WGS84,9,.000,0,n,N,1,2002-05-27,NULL,225
225823,RAINGAUGE @ BLANKET HILL,R.G. BLANKET HILL,NULL,NULL,NULL,55,472533.600,5811892.100,UTM,-37.839860000,146.687840000,GDA94,NULL,.000,NULL,N,N,1,2010-07-26,NULL,225
225824,RAINGAUGE (MACALISTER RV) @ SNOWY RANGE,RG AT SNOWY RANGE,NULL,NULL,NULL,55,475045.000,5873295.000,AMG66,-37.286482000,146.718472900,AGD66,9,1638.000,1,N,N,1,2011-02-22,NULL,225
225825,RAINGAUGE (MACALISTER RV) @ HIGH RIDGE,RG AT HIGH RIDGE,NULL,NULL,NULL,55,464837.103,5880051.102,UTM,-37.225254000,146.603635000,AGD66,9,1587.000,1,N,N,1,2011-04-06,NULL,225
225826,RAINGAUGE (MACALISTER RV) @ MOUNT SUNDAY,RG AT MT SUNDAY,NULL,NULL,NULL,55,448995.000,5867264.000,MGA94,-37.339908030,146.424185200,GDA94,NULL,.000,NULL,N,N,1,2011-04-06,NULL,225
226005,LATROBE RIVER @ THOMS BRIDGE,LATROBE @ THOMS,.000,ARB,2657.00000,55,448290.419,5775501.723,UTM,-38.166772000,146.409700000,WGS84,9,.000,1,Y,N,1,1960-05-24,NULL,226
226007,TYERS RIVER @ BROWNS,TYERS @ BROWNS,169.359,AHD,207.00000,55,443476.000,5788600.000,UTM,-38.048439510,146.355780700,WGS84,9,.000,1,Y,Y,1,1961-08-17,NULL,226
226008,TYERS RIVER WEST BRANCH @ MORGANS MILL,TYERS @ MORGANS MILL,.000,NULL,80.00000,55,439256.000,5800120.000,UTM,-37.944345390,146.308662600,WGS84,9,.000,1,Y,Y,1,1960-04-27,NULL,226
226017,JACOBS CREEK @ O'TOOLES,JACOBS @ O'TOOLES,.000,NULL,36.00000,55,446350.000,5788246.000,UTM,-38.051804800,146.388508200,WGS84,9,.000,1,Y,Y,1,1962-04-16,NULL,226
226021,NARRACAN CREEK @ MOE,NARRACAN CK @ MOE,.000,ARB,.00000,55,435969.000,5775832.000,UTM,-38.163004390,146.269081900,WGS84,9,.000,1,Y,N,1,1996-06-26,NULL,226
226023,TRARALGON CREEK @ TRARALGON,TRARALGON CK,32.673,AHD,189.00000,55,460064.000,5772541.000,UTM,-38.194053590,146.543932600,WGS84,9,32.673,1,Y,N,1,1960-10-13,NULL,226
226027,LA TROBE RIVER @ SWING BRIDGE,LA TROBE RV SWING BR,.000,AHD,.00000,55,511200.000,5778084.000,AMG84,-38.144912922,147.127817965,WGS84,NULL,.000,NULL,N,N,1,2010-05-07,NULL,226
226028,TYERS R @ PUMP HOUSE,TYERS R @ PUMP HOUSE,.000,NULL,.00000,55,451503.000,5778560.000,UTM,-38.139388770,146.446580500,WGS84,9,.000,1,N,Y,1,1990-04-12,NULL,226
226041,LAKE WELLINGTON @ BULL BAY,LAKE WELLINGTON,.000,AHD,.00000,55,532876.000,5780415.000,UTM,-38.123375200,147.375080600,WGS84,9,.000,1,Y,N,1,1975-03-19,NULL,226
226204,LATROBE RIVER @ WILLOW GROVE,LATROBE @ WILLOW GVE,.000,ARB,580.00000,55,426308.000,5784017.000,UTM,-38.088505520,146.159657200,WGS84,9,80.000,9,Y,Y,1,1924-10-23,NULL,226
226205,LATROBE RIVER @ NOOJEE,LATROBE @ NOOJEE,.000,ARB,290.00000,55,414035.000,5804037.000,UTM,-37.907010170,146.022118800,WGS84,9,238.000,9,Y,N,1,1925-05-13,NULL,226
226207,Hazel Creek @ Warragul WWTP,Hazel Ck @ WWTP,NULL,NULL,NULL,55,408508.902,5775295.991,NULL,-38.165465500,145.955595000,,NULL,.000,NULL,N,N,1,2021-07-01,NULL,226
226208,Hazel Creek @ D/S Warragul WWTP,Hazel Ck D/S WWTP,NULL,NULL,NULL,55,409110.582,5775254.085,NULL,-38.165904000,145.962457000,0,9,.000,NULL,N,N,1,2021-07-01,NULL,226
226209,MOE RIVER @ DARNUM,MOE R @ DARNUM,79.598,AHD,225.00000,55,412633.000,5770880.000,UTM,-38.205668150,146.002123600,WGS84,9,91.000,9,Y,Y,1,1949-09-12,NULL,226
226211,Moe River @ Rhodes Rd, Warragul,Moe R @ Rhodes Rd,NULL,NULL,NULL,55,411259.058,5773769.387,NULL,-38.179497000,145.986794000,0,9,.000,NULL,N,N,1,2021-07-01,NULL,226
226216,TANJIL RIVER @ TANJIL SOUTH,TANJIL @TANJIL SOUTH,69.245,AHD,358.00000,55,433560.000,5783395.000,UTM,-38.094673190,146.242290100,WGS84,9,81.000,9,Y,Y,1,1955-04-05,NULL,226
226218,NARRACAN CREEK @ THORPDALE,NARRACAN @ THORPDALE,.000,ARB,66.00000,55,428843.000,5763687.000,UTM,-38.271916180,146.186527700,WGS84,9,224.000,1,Y,N,1,1955-06-22,NULL,226
226220,LOCH RIVER @ NOOJEE,LOCH RIVER,.000,ARB,106.00000,55,412644.000,5808497.000,UTM,-37.866685540,146.006837920,WGS84,9,262.000,9,Y,N,1,1957-03-06,NULL,226
226222,LATROBE RIVER @ NEAR NOOJEE (US ADA R JUNCT.),LATROBE U/S ADA R,272.304,AHD,62.00000,55,402650.000,5806658.000,UTM,-37.882244300,145.892985300,WGS84,9,310.000,9,Y,Y,1,1971-05-10,NULL,226
226224,LATROBE RIVER @ ROSEDALE (ANABRANCH),LATROBE @ ROSEDALE,9.700,AHD,4144.00000,55,481555.000,5777709.000,UTM,-38.148173570,146.789490500,WGS84,9,.000,1,Y,N,1,1936-12-01,NULL,226
226226,TANJIL RIVER @ TANJIL JUNCTION,TANJIL @ TANJIL JUNC,.000,ARB,289.00000,55,429155.000,5796100.000,UTM,-37.979842170,146.193315000,WGS84,9,200.000,9,Y,Y,1,1960-05-25,NULL,226
226227,LATROBE RIVER @ KILMANY SOUTH,LATROBE @ KILMANY S.,2.571,AHD,4464.00000,55,492900.000,5778721.000,UTM,-38.139213470,146.918978800,WGS84,9,.000,1,Y,Y,1,1976-12-16,NULL,226
226228,LATROBE RIVER @ ROSEDALE (MAIN STREAM),LATROBE @ ROSEDALE,9.700,AHD,4144.00000,55,481748.000,5778351.000,UTM,-38.142391420,146.791709600,WGS84,9,.000,1,Y,Y,1,1936-12-01,NULL,226
226235,TYERS RIVER @ TYERS JUNCTION,TYERS R @ TYERS JUC,.000,ARB,132.20000,55,441506.000,5798197.000,UTM,-37.961823770,146.334112200,WGS84,9,.000,0,Y,Y,1,2001-10-05,NULL,226
226253,TRIGGER CREEK @ GIPPSLAND WATER SYPHON,TRIGGER CK GW SYPHON,NULL,NULL,NULL,55,444493.060,5804752.899,MGA94,-37.903058330,146.368616670,GDA94,NULL,.000,NULL,y,N,1,2016-05-30,NULL,226
226402,MOE DRAIN @ TRAFALGAR EAST,MOE @ TRAFALGAR,.000,GAU,622.00000,55,431070.000,5774351.000,UTM,-38.175989460,146.213020700,WGS84,9,57.000,9,Y,Y,1,1957-06-07,NULL,226
226406,LITTLE MORWELL ROVER @ BOOLARRA,LTL MORWELL@BOOLARRA,NULL,NULL,NULL,55,434351.510,5751184.856,NULL,-38.385000000,146.248333333,NULL,NULL,.000,NULL,N,N,1,1961-08-30,1986-12-16 00:00:00.000,226
226407,MORWELL RIVER @ BOOLARRA,MORWELL @ BOOLARRA,98.302,AHD,114.00000,55,439351.000,5748787.000,UTM,-38.406961560,146.305366100,WGS84,9,.000,1,Y,N,1,1958-10-06,NULL,226
226408,MORWELL R @ YALLOURN,MORWELL R YALLOURN,.000,ARB,622.00000,55,444702.000,5770110.400,UTM,-38.215146000,146.368318000,WGS84,9,47.000,9,N,Y,1,1943-02-09,NULL,226
226410,TRARALGON CREEK @ KOORNALLA,TRARALGON @ KOORNALL,.000,ARB,89.00000,55,459050.000,5758231.000,UTM,-38.322972180,146.531525800,WGS84,9,94.000,1,Y,N,1,1953-07-09,NULL,226
226415,TRARALGON CREEK @ TRARALGON SOUTH (JONES RD),TRARALGON C JONES RD,60.000,AHD,128.00000,55,459805.000,5764127.000,UTM,-38.269870900,146.540498100,WGS84,9,68.000,1,Y,N,1,1974-06-04,NULL,226
226418,Morwell River @ Creamery Road,Morwell R@ Creamery,NULL,NULL,NULL,55,440519.573,5758107.460,NULL,-38.323047220,146.319536110,GDA94,NULL,.000,NULL,N,N,1,2021-09-03,NULL,226
226602,AREA 2 SITE1 @ DOWDS MORASS NTH,DOWDS MORASS AREA2,-.016,AHD,.00000,55,516003.730,5777730.390,UTM,-38.148027419,147.182647389,WGS84,9,.000,0,N,N,1,2003-06-17,NULL,226
226605,LAKE VICTORIA @ MCLENNAN'S STRAIT,L VICTORIA MCLENNANS,.000,AHD,.00000,55,540395.663,5788012.275,UTM,-38.054600000,147.460440000,WGS84,NULL,.000,NULL,N,N,1,2010-11-17,NULL,226
226606,LAKE VICTORIA @ LOCH SPORT,L VICTORIA LOCHSPORT,.000,NULL,.00000,55,551177.000,5789006.000,UTM,-38.045098670,147.583252100,GDA94,NULL,.000,NULL,N,N,1,2010-11-26,NULL,226
226607,MCMILLAN STRAIT @ PAYNESVILLE,MCMILLAN STRAIT PAYN,.000,AHD,.00000,55,564019.000,5803744.200,UTM,-37.911590000,147.728290000,GDA94,NULL,.000,NULL,N,N,1,2010-10-21,NULL,226
226608,LAKE KING @ METUNG,LK KING AT METUNG,.000,AHD,.00000,55,576509.000,5807127.800,MGA94,-37.880000000,147.870000000,WGS84,NULL,.000,NULL,N,N,1,2010-11-17,NULL,226
226609,CUNNINGHAM ARM @ BULLOCK ISLAND,C'GHAM @ BULLOCK ISL,-1.000,AHD,.00000,55,585591.000,5806582.200,UTM,-37.884240000,147.973330000,GDA94,NULL,.000,NULL,N,N,1,2010-10-19,NULL,226
226611,HEART MORASS @ RICKETY BRIDGE,HEART MORASS RICKETY,NULL,NULL,NULL,55,515736.240,5779439.300,AMG84,-38.132630390,147.179556845,AGD84,9,.000,NULL,N,N,1,2017-02-21,NULL,226
226814,RAIN GAUGE @ MT TASSIE,R.G. MT TASSIE,.000,NULL,.00000,55,461784.000,5750077.000,UTM,-38.396577200,146.562360100,WGS84,9,.000,0,Y,N,1,1998-05-04,NULL,226
226815,RAIN GAUGE (TRARALGON CK) @ TRARALGON - EPA YARD,R.G.TRARALGON,.000,NULL,.00000,55,458982.000,5772514.000,UTM,-38.194248280,146.531575000,WGS84,9,.000,0,Y,N,1,1999-05-25,NULL,226
